"V-BAT","1","2021-01-01T00:00:00Z","2021-01-01T00:00:30Z","xn76m27ty9g4","true"
"V-BAT","2","2021-01-01T00:00:30Z","2021-01-01T00:01:00Z","xn76m27ty9g5","false"
"V-BAT","3","2021-01-01T00:01:00Z","2021-01-01T00:01:30Z","xn76m27ty9g6","true"
"V-BAT","4","2021-01-01T00:01:30Z","2021-01-01T00:02:00Z","xn76m27ty9g7","false"
"V-BAT","5","2021-01-01T00:02:00Z","2021-01-01T00:02:30Z","xn76m27ty9g8","true"
"V-BAT","6","2021-01-01T00:02:30Z","2021-01-01T00:03:00Z","xn76m27ty9g9","true"
"V-BAT","7","2021-01-01T00:03:00Z","2021-01-01T00:03:30Z","xn76m27ty9ga","false"
"V-BAT","8","2021-01-01T00:03:30Z","2021-01-01T00:03:40Z","xn76m27ty9gb","true"
"V-BAT","9","2021-01-01T00:03:40Z","2021-01-01T00:03:45Z","xn76m27ty9gc","true"
"V-BAT","10","2021-01-01T00:03:45Z","2021-01-01T00:03:46Z","xn76m27ty9gd","false"
